Rooms,Price,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Suburb,zipcode,airbnb_price_mean,airbnb_weekly_price_mean,airbnb_monthly_price_mean
2,1172500.0,1.0,1.0,195.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
1,441000.0,1.0,1.0,0.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1310000.0,1.0,2.0,238.0,97.0,1890.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1200000.0,2.0,1.0,113.0,110.0,1880.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1176500.0,1.0,1.0,138.0,105.0,1890.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,955000.0,1.0,0.0,183.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,890000.0,1.0,1.0,150.0,73.0,1985.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
4,1330000.0,2.0,2.0,780.0,135.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,900000.0,2.0,2.0,0.0,,2010.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1090000.0,2.0,2.0,4290.0,27.0,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,500000.0,1.0,1.0,0.0,60.0,1970.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1100000.0,2.0,1.0,124.0,135.0,2013.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1315000.0,1.0,0.0,147.0,85.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
1,426000.0,1.0,1.0,0.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1447500.0,3.0,1.0,166.0,174.0,2012.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
1,457000.0,1.0,1.0,0.0,50.0,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1135000.0,2.0,2.0,98.0,128.0,1920.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
4,1542000.0,3.0,1.0,0.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1290000.0,2.0,2.0,147.0,18.0,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1290000.0,1.0,1.0,168.0,124.0,1950.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
1,470000.0,1.0,1.0,0.0,50.0,2013.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1180000.0,1.0,0.0,162.0,91.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1195000.0,2.0,1.0,120.0,128.0,1998.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1012500.0,1.0,0.0,182.0,82.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1030000.0,1.0,1.0,172.0,81.0,1930.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1275000.0,1.0,0.0,120.0,82.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1455000.0,1.0,0.0,159.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2850000.0,2.0,0.0,211.0,198.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1850000.0,2.0,0.0,128.0,133.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1436000.0,1.0,0.0,130.0,81.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1110000.0,1.0,0.0,147.0,,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1550000.0,1.0,1.0,167.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
4,2300000.0,2.0,1.0,153.0,180.0,1880.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1550000.0,2.0,2.0,718.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1800000.0,2.0,1.0,132.0,159.0,1996.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,2120000.0,1.0,1.0,199.0,107.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1800000.0,1.0,1.0,253.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1800000.0,2.0,1.0,90.0,122.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1810000.0,1.0,0.0,240.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2615000.0,2.0,1.0,177.0,181.0,1880.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
5,2100000.0,2.0,1.0,237.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1300000.0,1.0,0.0,129.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1370000.0,2.0,2.0,0.0,85.0,2000.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1000000.0,1.0,0.0,288.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2575000.0,2.0,1.0,228.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1322500.0,1.0,0.0,149.0,98.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1562500.0,1.0,0.0,141.0,83.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2000000.0,2.0,1.0,211.0,147.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1900000.0,1.0,0.0,209.0,,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,3010000.0,2.0,0.0,147.0,146.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
4,2800000.0,3.0,1.0,327.0,254.0,1910.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,647000.0,1.0,1.0,0.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2100000.0,1.0,1.0,120.0,123.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2000000.0,1.0,1.0,238.0,131.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
1,442500.0,1.0,0.0,0.0,34.0,1970.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
4,4735000.0,2.0,1.0,330.0,207.0,1910.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1340000.0,1.0,0.0,136.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1801000.0,1.0,1.0,202.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1532000.0,3.0,1.0,0.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,3755000.0,2.0,2.0,325.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
4,2140000.0,2.0,1.0,183.0,145.0,1880.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,1750000.0,1.0,1.0,162.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
2,980000.0,1.0,0.0,79.0,68.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2030000.0,2.0,0.0,152.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,1740000.0,2.0,2.0,147.0,134.0,1890.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
3,2800000.0,3.0,1.0,0.0,,,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
1,985000.0,1.0,0.0,81.0,54.0,1900.0,Southern Metropolitan,Albert Park,3206.0,177.47058823529412,1066.5294117647059,3750.9411764705883
4,2000000.0,2.0,4.0,853.0,263.0,1930.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,1110000.0,2.0,2.0,208.0,,2013.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,1492000.0,2.0,2.0,411.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
4,1717500.0,2.0,1.0,599.0,203.0,1925.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
5,2840000.0,4.0,4.0,809.0,165.0,1910.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,525500.0,1.0,1.0,88.0,60.0,1960.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,805000.0,2.0,3.0,155.0,140.0,2004.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,465000.0,1.0,1.0,0.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,2000000.0,3.0,2.0,686.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,1540000.0,1.0,2.0,592.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,820000.0,1.0,1.0,183.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
4,1830000.0,2.0,2.0,606.0,112.0,1970.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
4,2100000.0,2.0,2.0,575.0,271.0,2008.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,865000.0,1.0,1.0,180.0,131.0,2010.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,390000.0,1.0,1.0,0.0,60.0,1960.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,650000.0,1.0,0.0,0.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,512000.0,1.0,1.0,0.0,61.0,1965.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,1165000.0,1.0,2.0,979.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
4,1900000.0,2.0,2.0,556.0,272.0,1930.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
3,1485000.0,0.0,0.0,597.0,,,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
4,1950000.0,2.0,3.0,589.0,210.0,1920.0,Northern Metropolitan,Alphington,3078.0,128.28571428571428,650.7142857142857,2338.714285714286
2,599000.0,1.0,1.0,0.0,76.0,1964.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,550000.0,1.0,0.0,861.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,995000.0,2.0,2.0,0.0,100.0,1998.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1205000.0,2.0,2.0,101.0,105.0,2000.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1939000.0,2.0,2.0,296.0,150.0,1889.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,421500.0,1.0,0.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1870000.0,1.0,1.0,217.0,116.0,1888.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,678000.0,1.0,2.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1918000.0,2.0,2.0,0.0,165.0,1995.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,660000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,2050000.0,2.0,1.0,205.0,116.0,1910.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,700000.0,1.0,2.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,3625000.0,2.0,2.0,0.0,,2006.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,3000000.0,2.0,2.0,1581.0,,1934.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
5,1525000.0,2.0,2.0,693.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,735000.0,2.0,1.0,2113.0,14.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,825000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1586000.0,2.0,2.0,246.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,645000.0,1.0,1.0,0.0,,1960.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,1435000.0,2.0,1.0,144.0,107.0,1900.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,280000.0,1.0,1.0,0.0,38.0,1975.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,400000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,1780000.0,2.0,2.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,592500.0,1.0,1.0,0.0,73.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,1210000.0,1.0,0.0,249.0,96.0,1910.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,2801000.0,2.0,2.0,624.0,222.0,1900.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,390000.0,1.0,0.0,881.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1800000.0,2.0,2.0,405.0,121.0,1910.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,2200000.0,1.0,2.0,495.0,163.0,1900.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,324000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
6,5525000.0,3.0,4.0,1491.0,516.0,1935.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,1125000.0,1.0,2.0,169.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,2250000.0,3.0,1.0,301.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,2360000.0,2.0,0.0,336.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,1900000.0,2.0,0.0,207.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,440000.0,1.0,1.0,0.0,53.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,490000.0,1.0,1.0,0.0,,1966.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,2365000.0,2.0,1.0,316.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1300000.0,1.0,2.0,212.0,106.0,1900.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,732000.0,2.0,2.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,704000.0,1.0,1.0,0.0,74.0,1969.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,620000.0,1.0,1.0,0.0,98.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1900000.0,1.0,2.0,328.0,108.0,1900.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,315000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,450000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,710000.0,1.0,1.0,2471.0,80.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,872000.0,1.0,1.0,1194.0,,1953.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,598000.0,1.0,1.0,0.0,88.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1285000.0,1.0,2.0,186.0,80.0,1920.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,3660000.0,3.0,2.0,421.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,520000.0,1.0,1.0,0.0,76.0,1970.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,3625000.0,1.0,2.0,709.0,251.0,1900.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,4200000.0,3.0,3.0,563.0,333.0,2000.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,1101000.0,1.0,2.0,103.0,3.0,2000.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,3512500.0,2.0,2.0,617.0,285.0,1998.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
4,2000000.0,3.0,4.0,544.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
3,869000.0,1.0,1.0,0.0,91.0,1940.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
5,2810000.0,2.0,2.0,617.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,565000.0,1.0,1.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
1,567000.0,1.0,1.0,0.0,53.0,2013.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,546000.0,0.0,0.0,0.0,,,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,471500.0,1.0,1.0,0.0,,1980.0,Southern Metropolitan,Armadale,3143.0,127.125,865.125,3313.125
2,455000.0,1.0,2.0,0.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,940000.0,1.0,2.0,298.0,108.0,1920.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,467000.0,1.0,1.0,0.0,62.0,1980.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1380000.0,2.0,2.0,277.0,174.0,1910.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,490000.0,1.0,1.0,423.0,62.0,1970.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
4,1850000.0,3.0,1.0,478.0,270.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1284000.0,1.0,2.0,623.0,,1938.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,971000.0,2.0,2.0,285.0,128.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,710000.0,1.0,1.0,214.0,77.0,1890.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
6,2425000.0,3.0,2.0,1014.0,435.0,1887.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,750000.0,1.0,1.0,226.0,92.0,1920.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,1053000.0,1.0,1.0,269.0,109.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1377000.0,1.0,1.0,417.0,168.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,970000.0,1.0,2.0,350.0,125.0,1904.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,940000.0,1.0,1.0,330.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,751000.0,1.0,1.0,118.0,79.0,1890.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,950000.0,1.0,1.0,173.0,102.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,685000.0,1.0,2.0,228.0,90.0,1995.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1230000.0,1.0,2.0,594.0,148.0,1960.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,636500.0,1.0,1.0,0.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,910000.0,1.0,0.0,317.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,770000.0,1.0,1.0,226.0,87.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,960000.0,2.0,2.0,229.0,,2011.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
4,890000.0,1.0,1.0,300.0,185.0,1890.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,965000.0,1.0,1.0,170.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1440000.0,1.0,1.0,487.0,131.0,1900.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,955000.0,1.0,0.0,255.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,450000.0,1.0,1.0,0.0,,2010.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,801000.0,1.0,2.0,431.0,,1950.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1000000.0,2.0,2.0,440.0,120.0,1955.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1435000.0,2.0,2.0,532.0,147.0,1950.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
1,390000.0,1.0,1.0,0.0,58.0,1972.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1425000.0,2.0,2.0,495.0,139.0,1920.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
4,1340000.0,2.0,2.0,683.0,232.0,1978.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,955000.0,1.0,1.0,263.0,117.0,1910.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
4,1100000.0,2.0,5.0,559.0,195.0,1920.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
3,1255000.0,2.0,2.0,308.0,,,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
2,432000.0,1.0,1.0,0.0,62.0,1978.0,Western Metropolitan,Ascot Vale,3032.0,81.16666666666667,441.6666666666667,1677.9166666666667
